Origin,Destination,Aircraft_Type,Distance_km,Passengers,Cargo_Load_pct,Weather_Severity,Wind_kts,Cruise_Temperature_C,Flight_Duration_hr,Fuel_Burn_L,Efficiency_Rating
CDG,ORD,Boeing 787-8,6664.7,152,68.3,Severe,-35.4,-58.0,7.38,18639.5,9.52
MAD,YYZ,Airbus A350-1000,6057.7,291,51.1,Severe,-53.9,-40.4,6.71,17309.3,9.85
JNB,AMS,Boeing 787-8,9016.7,171,8.4,Severe,51.1,-48.7,9.99,37928.0,9.28
HND,FRA,Boeing 787-9,9361.1,188,54.9,Severe,43.8,-57.0,10.37,37643.5,9.41
HND,CDG,Boeing 777-200ER,9707.5,212,64.1,Mild,-5.8,-45.0,10.88,26369.5,9.74
AMS,MAD,Embraer ERJ-145,1458.4,36,26.6,Severe,42.5,-55.3,1.75,6796.6,5.23
MAD,AMS,Bombardier CRJ-900,1458.4,59,30.2,Moderate,17.6,-48.4,1.76,5762.5,7.65
CDG,LAX,Boeing 787-9,9102.7,182,67.6,Mild,-8.9,-56.8,10.08,24795.3,9.65
MAD,CDG,Airbus A319ceo,1061.7,101,77.5,Severe,-36.1,-55.9,1.28,4231.3,8.71
SEA,SFO,Boeing 737-900ER,1092.9,139,24.9,Mild,7.5,-53.8,1.3,4517.7,9.08
SEA,HND,Boeing 787-10,7711.9,259,48.2,Mild,-1.8,-53.0,8.54,21327.3,9.82
MAD,GRU,Boeing 787-10,8379.6,225,75.8,Severe,39.8,-50.0,9.28,33165.9,9.55
SIN,JNB,Airbus A350-900,8656.7,194,39.0,Severe,49.5,-50.9,9.59,36356.0,9.4
ATL,DFW,Boeing 737-800,1174.7,127,33.6,Mild,-4.1,-56.0,1.4,4474.2,9.07
JFK,LAX,Airbus A321neo,3974.3,160,70.7,Severe,40.3,-46.9,4.77,16481.3,9.23
MAD,SEA,Airbus A350-1000,8521.4,233,18.5,Mild,-11.9,-42.1,9.44,23082.7,9.78
BCN,SIN,Airbus A380-800,10897.7,383,67.9,Severe,-46.6,-56.2,12.07,30160.1,9.95
YYZ,JFK,Airbus A330-900,588.2,260,73.1,Moderate,20.6,-58.9,0.67,4094.5,9.2
LAX,SEA,Boeing 737-700,1537.1,109,42.6,Severe,47.1,-51.5,1.83,7524.2,8.5
FRA,JNB,Boeing 777-300ER,8690.0,316,77.6,Severe,39.3,-52.2,9.6,34402.5,9.75
